payment_id,transaction_timestamp,merchant_id,customer_id,amount,currency,processing_fee,payment_method,card_type,card_network,issuer_country,billing_country,ip_country,device_type,device_id,is_new_device,is_new_customer,is_cross_border,country_mismatch_flag,velocity_1h,authentication_used,authentication_result,risk_score,decision,authorisation_status,decline_reason,confirmed_fraud,refund_status,transaction_date,transaction_month,merchant_name,industry,merchant_country,merchant_size,merchant_risk_category,platform_type,reserve_rate,expected_monthly_volume,customer_country,account_created_at,customer_segment,historical_orders,historical_chargebacks,email_age_days,lifetime_value,dispute_id,dispute_date,dispute_reason,disputed_amount,dispute_fee,dispute_status,resolution_date,recovered_amount,net_dispute_loss,approved_flag,declined_flag,has_dispute,approved_amount,gross_processing_revenue,modelled_fraud_loss,modelled_nonfraud_dispute_loss
P0004693,"2025-01-01 00:01:04",M00017,C002316,45.21,AUD,0.83,Card,Debit,Visa,GB,GB,GB,Desktop,DEV002316,0,0,1,0,1,1,Successful,32,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 017","Digital Products",AU,Enterprise,High,Direct,0.1323,3726005.85,GB,2023-02-13,Occasional,6,0,1095,452.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,45.21,0.83,0.00,0.00
P0043213,"2025-01-01 00:39:48",M00095,C004448,283.54,GBP,4.17,Card,Debit,Mastercard,GB,GB,GB,Mobile,DEV004448,0,0,0,0,1,1,Successful,23,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 095",Travel,GB,Enterprise,High,Direct,0.0706,1751099.48,GB,2021-11-11,Loyal,90,0,1771,10052.27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,283.54,4.17,0.00,0.00
P0047874,"2025-01-01 00:41:14",M00023,C003680,1022.72,GBP,14.52,Card,Debit,Mastercard,GB,GB,GB,Mobile,DEV003680,0,0,0,0,1,0,"Not Attempted",28,Approve,Declined,"Issuer Decline",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 023",Travel,GB,Enterprise,High,Marketplace,0.1089,2708181.47,GB,2023-06-30,Loyal,82,0,951,8121.81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0,0.00,0.00,0.00,0.00
P0031576,"2025-01-01 00:54:17",M00034,C005766,28.57,USD,0.60,Card,Debit,Visa,NL,NL,NL,Mobile,NEWDEV431973,1,0,1,0,1,1,Successful,49,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 034",Gaming,US,Small,High,Direct,0.1105,36241.81,NL,2023-10-16,Occasional,6,0,1507,559.54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,28.57,0.60,0.00,0.00
P0017855,"2025-01-01 01:16:45",M00069,C007132,330.48,CAD,4.83,"Bank Transfer","Not Applicable","Not Applicable",ES,ES,ES,Mobile,DEV007132,0,0,1,0,1,0,"Not Attempted",18,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 069",Marketplace,CA,Small,Medium,Marketplace,0.0620,46750.79,ES,2017-08-07,Loyal,82,0,3636,4433.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,330.48,4.83,0.00,0.00
P0031506,"2025-01-01 01:20:39",M00049,C007232,428.73,CAD,6.20,Card,Debit,Visa,GB,GB,GB,Mobile,DEV007232,0,0,1,0,1,0,"Not Attempted",22,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 049",Travel,CA,Medium,High,Marketplace,0.1129,281400.29,GB,2022-10-23,Returning,9,0,1432,627.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,428.73,6.20,0.00,0.00
P0048119,"2025-01-01 01:23:23",M00066,C009540,108.61,EUR,1.72,"Digital Wallet",Credit,Visa,IT,IT,IT,Mobile,DEV009540,0,0,0,0,1,1,Successful,16,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 066",Marketplace,IT,Small,High,Marketplace,0.1233,34255.63,IT,2019-05-24,Loyal,83,0,2904,8493.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,108.61,1.72,0.00,0.00
P0013898,"2025-01-01 01:34:04",M00056,C001559,127.84,EUR,1.99,"Digital Wallet",Credit,Mastercard,AU,AU,US,Mobile,DEV001559,0,0,1,1,1,1,Successful,51,Approve,Approved,"Not Applicable",0,"Fully Refunded",2025-01-01,2025-01,"Synthetic Merchant 056",Electronics,NL,Medium,High,Subscription,0.0903,315534.15,AU,2023-02-01,Occasional,3,0,1507,70.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,127.84,1.99,0.00,0.00
P0042507,"2025-01-01 02:26:06",M00090,C007129,74.02,USD,1.24,"Digital Wallet",Debit,Mastercard,GB,GB,GB,Mobile,DEV007129,0,0,1,0,1,0,"Not Attempted",12,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 090",Fashion,US,Small,Low,Direct,0.0149,42961.48,CA,2019-06-01,Returning,11,0,2513,1627.57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,74.02,1.24,0.00,0.00
P0012978,"2025-01-01 03:08:38",M00062,C004189,14.81,AUD,0.41,Card,Credit,Amex,ES,ES,ES,Mobile,DEV004189,0,0,1,0,1,1,Successful,40,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 062","Digital Products",AU,Medium,High,Direct,0.1489,372992.11,ES,2019-05-25,Returning,6,0,3088,483.78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,14.81,0.41,0.00,0.00
